"Si","Class"
-0.563361319612077,"1"
-0.563361319612077,"1"
-0.563361319612077,"1"
-0.563257668102073,"1"
-0.563015814578733,"1"
-0.563015814578733,"1"
-0.563015814578733,"1"
-0.563015814578733,"1"
-0.563015814578733,"1"
-0.563015814578733,"1"
-0.563015814578733,"1"
-0.562670309545388,"1"
-0.562670309545388,"1"
-0.562670309545388,"1"
-0.562670309545388,"1"
-0.562670309545388,"1"
-0.56260120853872,"1"
-0.562324804512044,"1"
-0.562255703505375,"1"
-0.561910198472031,"1"
-0.561633794445356,"1"
-0.561633794445356,"1"
-0.561633794445356,"1"
-0.561633794445356,"1"
-0.561633794445356,"1"
-0.56132629496568,"1"
-0.56132629496568,"1"
-0.56132629496568,"1"
-0.56132629496568,"1"
-0.561288289412012,"1"
-0.561288289412012,"1"
-0.561288289412012,"1"
-0.561288289412012,"1"
-0.561288289412012,"1"
-0.56123646365701,"1"
-0.56123646365701,"1"
-0.56123646365701,"1"
-0.560942784378668,"1"
-0.560942784378668,"1"
-0.560942784378668,"1"
-0.560942784378668,"1"
-0.560942784378668,"1"
-0.560908233875333,"1"
-0.560908233875333,"1"
-0.560597279345323,"1"
-0.560597279345323,"1"
-0.560424526828651,"1"
-0.560424526828651,"1"
-0.560320875318648,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560251774311979,"1"
-0.560217223808645,"1"
-0.559999555637638,"1"
-0.559940819781969,"1"
-0.559906269278635,"1"
-0.559906269278635,"1"
-0.559906269278635,"1"
-0.559906269278635,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559560764245291,"1"
-0.559042506695275,"1"
-0.558869754178603,"1"
-0.558869754178603,"1"
-0.558869754178603,"1"
-0.558762647618266,"1"
-0.558762647618266,"1"
-0.558627900655262,"1"
-0.558524249145258,"1"
-0.558524249145258,"1"
-0.558524249145258,"1"
-0.558178744111914,"1"
-0.558178744111914,"1"
-0.558178744111914,"1"
-0.557836694128903,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.55783323907857,"1"
-0.557746862820234,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557529194649227,"1"
-0.557487734045226,"1"
-0.557487734045226,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.557142229011882,"1"
-0.556865824985206,"1"
-0.556865824985206,"1"
-0.556865824985206,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556796723978538,"1"
-0.556693072468534,"1"
-0.556693072468534,"1"
-0.556693072468534,"1"
-0.556693072468534,"1"
-0.556693072468534,"1"
-0.556693072468534,"1"
-0.556451218945193,"1"
-0.556451218945193,"1"
-0.556451218945193,"1"
-0.556423578542526,"1"
-0.556292286629855,"1"
-0.556292286629855,"1"
-0.556292286629855,"1"
-0.556292286629855,"1"
-0.556292286629855,"1"
-0.556105713911849,"1"
-0.556105713911849,"1"
-0.556105713911849,"1"
-0.555850040187175,"1"
-0.555760208878505,"1"
-0.55517285032182,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555069198811817,"1"
-0.555055378610483,"1"
-0.555055378610483,"1"
-0.555055378610483,"1"
-0.555055378610483,"1"
-0.555055378610483,"1"
-0.555055378610483,"1"
-0.554789339734808,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554723693778473,"1"
-0.554481840255132,"1"
-0.554392008946462,"1"
-0.554347093292128,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.554032683711784,"1"
-0.55368717867844,"1"
-0.553642263024105,"1"
-0.553642263024105,"1"
-0.553642263024105,"1"
-0.553642263024105,"1"
-0.553493695859767,"1"
-0.553493695859767,"1"
-0.553493695859767,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553479875658434,"1"
-0.553341673645096,"1"
-0.553341673645096,"1"
-0.553341673645096,"1"
-0.553341673645096,"1"
-0.553168921128424,"1"
-0.553168921128424,"1"
-0.553168921128424,"1"
-0.553168921128424,"1"
-0.55282341609508,"1"
-0.55282341609508,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552650663578408,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552581562571739,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552305158545064,"1"
-0.552270608041729,"1"
-0.552270608041729,"1"
-0.551959653511719,"1"
-0.551959653511719,"1"
-0.551959653511719,"1"
-0.55164869898171,"1"
-0.551614148478375,"1"
-0.551614148478375,"1"
-0.551614148478375,"1"
-0.551614148478375,"1"
-0.551614148478375,"1"
-0.551614148478375,"1"
-0.551510496968372,"1"
-0.551510496968372,"1"
-0.551475946465038,"1"
-0.5513377444517,"1"
-0.5513377444517,"1"
-0.5513377444517,"1"
-0.5513377444517,"1"
-0.5513377444517,"1"
-0.551268643445031,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550923138411687,"1"
-0.550888587908352,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550854037405018,"1"
-0.550819486901684,"1"
-0.550784936398349,"1"
-0.550577633378343,"1"
-0.550577633378343,"1"
-0.550577633378343,"1"
-0.550577633378343,"1"
-0.550577633378343,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.550232128344999,"1"
-0.55016302733833,"1"
-0.55016302733833,"1"
-0.550128476834995,"1"
-0.550128476834995,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.550093926331661,"1"
-0.549886623311654,"1"
